% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"May 17 2025, 15:20"
% Table,Table 3 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.0379,9.999922871431831
0.038,9.999917912033094
0.0381,9.99991295263435
0.038200000000000005,9.99990799323561
0.0383,9.99990303383687
0.038400000000000004,9.999898074438125
0.0385,9.999893115039386
0.0386,9.999888155640646
0.038700000000000005,9.999883196241901
0.0388,9.999878236843163
0.038900000000000004,9.99987327744442
0.039,9.999868318045676
0.0391,9.999863358646941
0.0392,9.999858399248195
0.0393,9.99985343984946
0.039400000000000004,9.999850683127487
0.0395,9.999852128689087
0.0396,9.999853574250677
0.0397,9.999855019812275
0.0398,9.999856465373872
0.039900000000000005,9.99985791093547
0.04,9.999859356497067
0.040100000000000004,9.999860802058665
0.0402,9.999862247620257
0.0403,9.999863693181855
0.040400000000000005,9.99986513874345
0.0405,9.999866584305048
0.040600000000000004,9.999868029866645
0.0407,9.999869475428238
0.0408,9.999870920989839
0.0409,9.999872366551429
0.041,9.999873812113028
0.041100000000000005,9.999875257674626
0.0412,9.999876703236222
0.0413,9.999878148797814
0.0414,9.999879594359413
0.0415,9.999881039921009
0.041600000000000005,9.999882485482608
0.0417,9.999883931044206
0.041800000000000004,9.9998853766058
0.0419,9.999886822167397
0.042,9.999888267728995
0.042100000000000005,9.999889713290589
0.0422,9.999891158852186
0.042300000000000004,9.99989260441378
0.0424,9.99989404997538
0.0425,9.999895495536974
0.0426,9.999896941098573
0.0427,9.999898386660167
0.042800000000000005,9.999899832221766
0.0429,9.999901277783357
0.043000000000000003,9.999902723344956
0.0431,9.999904168906548
0.0432,9.99990561446815
0.043300000000000005,9.999907060029745
0.0434,9.999908505591344
0.043500000000000004,9.999909951152938
0.0436,9.999911396714532
0.0437,9.999912842276128
0.0438,9.999914287837727
0.0439,9.999915733399325
0.044000000000000004,9.999917178960919
0.0441,9.999918624522516
0.0442,9.999920070084112
0.0443,9.999921515645708
0.0444,9.999922961207306
0.044500000000000005,9.999924406768901
0.0446,9.999925852330495
0.044700000000000004,9.999927297892096
0.0448,9.99992874345369
0.0449,9.99993018901529
0.045000000000000005,9.999931634576885
0.0451,9.999933080138481
0.045200000000000004,9.999934525700077
0.0453,9.99993597126167
0.0454,9.999937256408716
0.0455,9.999938235515648
0.0456,9.999939214622584
0.045700000000000005,9.999940193729515
0.0458,9.999941172836452
0.0459,9.999942151943385
0.046,9.999943131050317
0.0461,9.99994411015725
0.046200000000000005,9.999945089264186
0.0463,9.999946068371116
0.046400000000000004,9.999947047478052
0.0465,9.999948026584983
0.0466,9.999949005691915
0.046700000000000005,9.999949984798851
0.0468,9.999950963905784
0.046900000000000004,9.999951943012714
0.047,9.99995292211965
0.0471,9.999953901226585
0.0472,9.999954880333517
0.0473,9.999955859440453
0.047400000000000005,9.999956838547389
0.0475,9.99995781765432
0.0476,9.999958796761259
0.0477,9.99995977586819
0.0478,9.999960754975126
0.047900000000000005,9.999961734082055
0.048,9.99996271318899
0.048100000000000004,9.999963692295923
0.0482,9.999964671402857
0.0483,9.999965650509791
0.048400000000000006,9.999966629616724
0.0485,9.999967608723654
0.048600000000000004,9.999968587830592
0.0487,9.999969566937523
0.0488,9.999970546044455
0.0489,9.999971525151391
0.049,9.999972504258325
0.049100000000000005,9.999973483365258
0.0492,9.99997446247219
0.049300000000000004,9.999975441579126
0.0494,9.999976420686057
0.0495,9.999977399792991
0.049600000000000005,9.999978378899925
0.0497,9.999979358006863
0.049800000000000004,9.99998033711379
0.0499,9.999981316220728
0.05,9.99998229532766
0.050100000000000006,9.999983274434594
0.0502,9.99998425354153
0.050300000000000004,9.999985232648461
0.0504,9.999986211755393
0.0505,9.99998719086233
0.0506,9.999988169969262
0.0507,9.999989149076196
0.050800000000000005,9.999990128183132
0.0509,9.999991107290066
0.051000000000000004,9.999992086396993
0.0511,9.999993065503931
0.0512,9.999994044610865
0.051300000000000005,9.999995023717796
0.0514,9.999995720963678
0.051500000000000004,9.99999588047288
0.0516,9.99999603998208
0.0517,9.999996199491282
0.051800000000000006,9.999996359000491
0.0519,9.999996518509692
0.052000000000000005,9.9999966780189
0.0521,9.999996837528094
0.0522,9.999996997037302
0.0523,9.999997156546506
0.0524,9.999997316055707
0.052500000000000005,9.999997475564909
0.0526,9.999997635074116
0.052700000000000004,9.99999779458332
0.0528,9.999997954092521
0.0529,9.999998113601723
