% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"May 19 2025, 17:47"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)","Molar concentration, c (mol/m^3)"
0.0204,-1.6297034684285908E-23,7.106368166319129E-23
0.0205,-1.5789295113833048E-23,6.93653353884569E-23
0.0206,-1.528155554338018E-23,6.766698911372256E-23
0.0207,-1.4773815972927318E-23,6.59686428389882E-23
0.020800000000000003,-1.4266076402474437E-23,6.42702965642538E-23
0.020900000000000002,-1.375833683202158E-23,6.257195028951943E-23
0.021,-1.3250597261568706E-23,6.087360401478508E-23
0.0211,-1.2742857691115853E-23,5.917525774005071E-23
0.0212,-1.223511812066298E-23,5.747691146531634E-23
0.0213,-1.1727378550210116E-23,5.577856519058201E-23
0.021400000000000002,-1.1219638979757235E-23,5.408021891584756E-23
0.021500000000000002,-1.0711899409304373E-23,5.238187264111323E-23
0.0216,-1.0204159838851516E-23,5.068352636637889E-23
0.0217,-9.696420268398647E-24,4.8985180091644524E-23
0.0218,-9.188680697945782E-24,4.7286833816910154E-23
0.0219,-8.680941127492921E-24,4.55884875421758E-23
0.022000000000000002,-8.17320155704004E-24,4.389014126744139E-23
0.0221,-7.665461986587175E-24,4.219179499270706E-23
0.0222,-7.157722416134315E-24,4.0493448717972666E-23
0.0223,-6.649982845681448E-24,3.879510244323832E-23
0.0224,-6.1422432752285896E-24,3.7096756168503966E-23
0.022500000000000003,-5.6345037047757084E-24,3.5398409893769543E-23
0.022600000000000002,-5.126764134322842E-24,3.3700063619035184E-23
0.0227,-4.61902456386998E-24,3.2001717344300814E-23
0.0228,-4.111284993417115E-24,3.0303371069566485E-23
0.0229,-3.6035454229642535E-24,2.860502479483213E-23
0.023,-3.0958058525113914E-24,2.6906678520097773E-23
0.023100000000000002,-2.5880662820585088E-24,2.520833224536334E-23
0.023200000000000002,-2.080326711605645E-24,2.350998597062898E-23
0.0233,-1.572587141152784E-24,2.1811639695894638E-23
0.0234,-1.0648475706999207E-24,2.011329342116028E-23
0.0235,-5.571080002470574E-25,1.841494714642592E-23
0.0236,-4.936842979419446E-26,1.6716600871691568E-23
0.023700000000000002,4.583711406586871E-25,1.5018254596957154E-23
0.0238,9.6611071111155E-25,1.3319908322222792E-23
0.0239,1.4738502815644132E-24,1.1621562047488441E-23
0.024,1.9815898520172764E-24,9.923215772754084E-24
0.0241,2.4893294224701414E-24,8.224869498019723E-24
0.024200000000000003,2.9970689929230215E-24,6.526523223285311E-24
0.024300000000000002,3.5048085633758854E-24,4.8281769485509525E-24
0.0244,4.012548133828748E-24,3.129830673816597E-24
0.0245,4.52028770428161E-24,1.4314843990822385E-24
0.0246,5.0280272747344746E-24,-2.6686187565211746E-25
0.0247,5.535766845187339E-24,-1.9652081503864745E-24
0.024800000000000003,6.04350641564022E-24,-2.896626528397649E-24
0.024900000000000002,6.551245986093082E-24,-3.025196686925705E-24
0.025,7.058985556545946E-24,-3.1537668454537604E-24
0.0251,7.56672512699881E-24,-3.282337003981818E-24
0.0252,8.074464697451674E-24,-3.4109071625098754E-24
0.0253,8.582204267904536E-24,-3.53947732103793E-24
0.025400000000000002,9.089943838357418E-24,-3.668047479565991E-24
0.025500000000000002,9.597683408810278E-24,-3.7966176380940484E-24
0.0256,1.0105422979263143E-23,-3.925187796622105E-24
0.0257,1.0567174754054418E-23,-4.05375795515016E-24
0.0258,1.0464680154057751E-23,-4.182328113678218E-24
